match_id,inning_name,batsman_id,batsman_name,runs,balls,fours,sixes,strike_rate,dismissal,dismissal_text,bowler_id,bowler_name,catcher_id,catcher_name
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,000f9f7c-cc24-4a85-8638-b013b0f4760e,Quinton de Kock,4,5,1,0,80.0,catch,c jitesh sharma b hazlewood,2190c28d-1712-4fd2-ae44-9ac54319fc21,Josh Hazlewood,e28de73b-f5df-49eb-bdf6-c50471319404,Jitesh Sharma
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,ef2e9c01-41f2-4349-a945-45d8b11dbd19,Sunil Narine,44,26,5,3,169.23,catch,c jitesh sharma b rasikh salam,a1f7a1f3-f19c-43d2-bcd7-b4bae22f5842,Rasikh Dar Salam,e28de73b-f5df-49eb-bdf6-c50471319404,Jitesh Sharma
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,cdc2646c-1fe7-4bc2-b26e-42453f45a212,Ajinkya Rahane,56,31,6,4,180.65,catch,c rasikh salam b krunal pandya,81c09c1b-1b1d-4e87-9eaa-d7d0a89a6159,Krunal Pandya,a1f7a1f3-f19c-43d2-bcd7-b4bae22f5842,Rasikh Dar Salam
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,c3236037-6694-404a-8f01-9ad880564ea9,Venkatesh Iyer,6,7,1,0,85.71,bowled,b krunal pandya,81c09c1b-1b1d-4e87-9eaa-d7d0a89a6159,Krunal Pandya,,
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,3c89df94-f39c-4c51-8e64-441c73c32c78,Angkrish Raghuvanshi,30,22,2,1,136.36,catch,c jitesh sharma b yash dayal,f061b5fc-cd70-480c-86aa-45c7828e739c,Yash Dayal,e28de73b-f5df-49eb-bdf6-c50471319404,Jitesh Sharma
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,11864f31-b766-4766-9cbc-5026015ace48,Rinku Singh,12,10,1,0,120.0,bowled,b krunal pandya,81c09c1b-1b1d-4e87-9eaa-d7d0a89a6159,Krunal Pandya,,
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,effbb8f2-affa-4d18-93c5-285b243f88d0,Andre Russell,4,3,1,0,133.33,bowled,b suyash sharma,2bf2258f-f35e-4831-884e-f88ef46968f5,Suyash Sharma,,
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,3187d301-269d-4823-b895-66d652ddefca,Ramandeep Singh ,6,9,0,0,66.67,,not out,,,,
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,225ae9ea-dba6-456d-a64b-2dbd7476c8f0,Harshit Rana,5,6,1,0,83.33,catch,c jitesh sharma b hazlewood,2190c28d-1712-4fd2-ae44-9ac54319fc21,Josh Hazlewood,e28de73b-f5df-49eb-bdf6-c50471319404,Jitesh Sharma
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,0284af4f-d4eb-4894-bacc-a468c1020951,Spencer Johnson,1,1,0,0,100.0,,not out,,,,
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,6db25d60-ff96-4d8d-8d22-dedeeb5ffa29,Philip Salt,56,31,9,2,180.65,catch,c spencer johnson b varun chakaravarthy,702254aa-2764-4fe4-b28e-20336a0ab069,Varun Chakaravarthy,0284af4f-d4eb-4894-bacc-a468c1020951,Spencer Johnson
