match_id,inning_name,runs,wickets,overs
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,174,8,20.0
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,177,3,16.2
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,286,6,20.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,242,6,20.0
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Mumbai Indians Inning 1,155,9,20.0
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Chennai Super Kings Inning 1,158,6,19.1
c6e97609-d9c1-46eb-805a-e282b34f3bb1,Lucknow Super Giants Inning 1,209,8,20.0
c6e97609-d9c1-46eb-805a-e282b34f3bb1,Delhi Capitals Inning 1,211,9,19.3
83d70527-5fc4-4fad-8dd2-b88b385f379e,Punjab Kings Inning 1,243,5,20.0
83d70527-5fc4-4fad-8dd2-b88b385f379e,Gujarat Titans Inning 1,232,5,20.0
fd459f45-6e79-42c5-84e4-d046f291cacf,Rajasthan Royals Inning 1,151,9,20.0
fd459f45-6e79-42c5-84e4-d046f291cacf,Kolkata Knight Riders Inning 1,153,2,17.3
ab4e0813-1e78-467e-aca0-d80c5cfe7dbd,Lucknow Super Giants Inning 1,190,9,20.0
ab4e0813-1e78-467e-aca0-d80c5cfe7dbd,Sunrisers Hyderabad Inning 1,193,5,16.1
7431523f-7ccb-4a4a-aed7-5c42fc08464c,Royal Challengers Bengaluru Inning 1,196,7,20.0
7431523f-7ccb-4a4a-aed7-5c42fc08464c,Chennai Super Kings Inning 1,146,8,20.0
f5ed540f-15c7-4189-a5d4-e54be746a522,Gujarat Titans Inning 1,196,8,20.0
f5ed540f-15c7-4189-a5d4-e54be746a522,Mumbai Indians Inning 1,160,6,20.0
